"","","","15-years old any alcoholic beverage consumed in past 30 days, (%)","15-years old any alcoholic beverage consumed in past 30 days, (%)","15-years old any alcoholic beverage consumed in past 30 days, (%)"
"United Kingdom of Great Britain and Northern Ireland"," Data source"," 2007","70.0","69.0","71.0"
"United Kingdom of Great Britain and Northern Ireland"," Data source"," 2003","74.0","73.0","75.0"
"United States of America"," Data source"," 2013","25.7","",""
"United States of America"," Data source"," 2012","27.6","",""
"United States of America"," Data source"," 2011","27.2","28.0","26.0"
"United States of America"," Data source"," 2010","28.9","",""
"United States of America"," Data source"," 2009","30.4","",""
"United States of America"," Data source"," 2008","28.8","",""
"United States of America"," Data source"," 2007","33.4","",""
"United States of America"," Data source"," 2006","33.8","",""
"United States of America"," Data source"," 2005","33.2","",""
"United States of America"," Data source"," 2004","35.2","",""
"United States of America"," Data source"," 2003","35.4","",""
"United States of America"," Data source"," 2002","35.4","",""
"United States of America"," Data source"," 2001","39.0","",""
"United States of America"," Data source"," 2000","41.0","",""
"Uruguay"," "," 2009","60.6","",""
"Uruguay"," "," 2003","66.5","",""
"Venezuela (Bolivarian Republic of)"," "," 2009","23.0","",""
