Country,Action Area,2010,2011,2012,2013,2014,2015,2016
Belgium,Drink-driving policies and countermeasures,NA,NA,NA,NA,NA,Belgian Road Safety Institute (BRSI) publication in the journal Accident Analysis and Prevention investigating the impact of social norms and alcohol checks on driving under the influence of alcohol.,NA
Benin,Monitoring and surveillance,NA,Implemented a survey on the prevalence of alcohol use in university context.,NA,NA,NA,Ongoing STEPS survey on the risk fators of NCDs.,NA
Benin,"Leadership, awareness and commitment",NA,NA,Formed a multisectorial committee fighting against NCDs and the harmful use of alcohol. Increased involvement of ministries and state institutions working on NCD risk factors and harmful use of alcohol.,"Elaborated an integrative national plan to fight against NCDs, taking into account the harmful use of alcohol.",NA,NA,Organized work on NCDs risk factors with WHO countries and the WHO region of Africa to boost the implementation of the NCDs action plan.
Benin,Pricing policies,NA,NA,Increased taxation and prices of alcoholic beverages.,NA,NA,NA,NA
Bhutan,"Leadership, awareness and commitment",NA,NA,NA,NA,NA,NA,"Conducted a National Level Committee meeting. Formed a Core Implementation Committee. Planned a Stakeholders meeting for September, 2016. Distributed policy to stakeholders."
Bosnia and Herzegovina,Community and workplace action,NA,NA,NA,NA,NA,Involvement of alcohol prevention in PHI training of family teams.,NA
Bosnia and Herzegovina,Availability of alcohol,NA,NA,NA,NA,NA,The Law on Public Peace and Order (Official Gazette of Republic of Srpska).  Includes a ban on the sale and use of alcoholic beverages in public places; and a ban on the consumption of alcoholic beverages by persons under age 18 and on the selling and serving of alcoholic beverages to persons under 18 in restaurants and cafes in the Republic of Srpska.,NA
Bosnia and Herzegovina,Pricing policies,NA,NA,NA,NA,NA,Increase in the excise taxes on alcohol.,NA
Botswana,"Leadership, awareness and commitment",Created a Ministry of Health campaign office.,Alcohol policy approved by Parliament.,NA,NA,NA,Increased capacity of the policy office and introduced a ministerial-level intersectoral campaign team. Commenced campaigning in schools.,NA
Botswana,Community and workplace action,NA,NA,Introduced a volunteer programme.,NA,NA,NA,NA
Botswana,Drink-driving policies and countermeasures,NA,NA,Introduced Booze Buses programme to increase the random breath testing of drivers.,Reduced the allowed limits of alcohol consumption for drivers.,Published names of drunken drivers.,NA,NA
Botswana,Pricing policies,NA,NA,Increased alcohol levy.,Increased the alcohol levy.,Increased the alcohol levy.,NA,NA
Botswana,Reducing the public health impact of illicit alcohol and informally produced alcohol,NA,NA,Introduced Traditional Beer Regulations to control and reduce illicit brews.,NA,NA,NA,NA
Botswana,Monitoring and surveillance,NA,NA,Alcohol levy showed a reduction in the recorded consumption of alcohol.,NA,NA,NA,NA
Botswana,Availability of alcohol,NA,NA,NA,Alcohol banned by governmental tertiary institutions in their areas.,NA,NA,NA
Botswana,Health services' response,NA,NA,NA,NA,NA,NA,Provided public funding to  non-profit organizations to provide rehabilitation services and infotainment. Provided training of the ICCE curricula to addiction professionals.
Brazil,"Leadership, awareness and commitment",NA,NA,NA,NA,NA,NA,"New legislation for better regulation (Law No. 13,106/2015; which amends Law No. 8,069, of July 13, 1990 - Child and Adolescent Statute) to make it a crime to sell, supply, serve, administer or deliver alcohol to a child. Law No. 13.281 of 4 May 2016 (which amends Law No. 9,503 of 23 September 1997 ""Brazilian Traffic Code"" Art. 165-A): Refusal to undergo a test, clinical examination, skill or other procedure that allows to certify influence of alcohol or other psychoactive substance, in the form established by art. 277: infraction - very serious; penalty - fine (ten times) and suspension of the right to drive for 12 months."
Burundi,"Leadership, awareness and commitment",NA,NA,NA,NA,NA,NA,Revised and released a new strategy and action plan concerning alcohol.
Côte d'Ivoire,Reducing the negative consequences of drinking and alcohol intoxication,NA,NA,NA,NA,NA,"The Ministry of Health, through the National Program for Tobacco Control, Alcoholism, Substance Abuse and Other Addictions, developed and adopted guidance based on strategies to reduce the harmful use of alcohol (National Policy and Strategic Plan for the Control of Alcohol and Drug Addiction) and an annual action plan for implementation.",NA
Cabo Verde,Pricing policies,NA,NA,NA,NA,NA,Created a new policy on the production and taxation for local production of alcohol.,NA
Cabo Verde,"Leadership, awareness and commitment",NA,NA,NA,NA,NA,NA,Created the Strategic Plan for 2016-2020. Established an interministerial body for coordination in the organization chart of the Ministry of Health and Social Security.  Launched a national campaign under the initiative of the President of the Republic: www.menosalcoolmaisvida.cv   Created a new policy on production and taxation for local production of alcohol.
Cambodia,Availability of alcohol,NA,"Banned the use, sale, promotion and advertisement of alcohol products in all educational facilities, including schools and universities.",NA,NA,NA,NA,NA
Cambodia,"Leadership, awareness and commitment",NA,NA,NA,Launched the National Policy and Strategic Plan for the reduction of alcohol use.,NA,NA,Submitted the Draft Law on Alcohol Products Control to the Council of the Ministers for approval.
Cambodia,Pricing policies,NA,NA,NA,NA,Increased excise tax on alcohol products.,NA,Increased the excise tax on alcohol products from 25% to 30%.
Cambodia,Marketing of alcoholic beverages,NA,NA,NA,NA,NA,NA,"The Ministry of Information regulated to ban advertisement of alcohol on prime time television, from 6-8 pm."
Cameroon,Pricing policies,Increased taxation on alcoholic beverages as a result of the inflation.,NA,NA,Established the Sub-Directorate for the Control of NCDs.,NA,Increased the excise duty on alcoholic beverages.,NA
Cameroon,"Leadership, awareness and commitment",NA,Developed the national strategic plan.,NA,NA,NA,NA,NA
Cameroon,Availability of alcohol,NA,NA,NA,NA,NA,NA,Required  compliance with  standards for the production of whiskey (ban on the production of whiskey in sachets).
Canada,"Leadership, awareness and commitment","Developed The National Alcohol Strategy Advisory Committee (NASAC), a multi-stakeholder committee co-chaired by the Canadian Centre on Substance Abuse, MADD Canada, and the Nova Scotia Department of Health and Wellness to pursue the implementation of recommendations under the report 'Reducing Alcohol-Related Harm in Canada: Toward a Culture of Moderation: Recommendations for a National Alcohol Strategy'. NASAC advanced the implementation of recommendations in the priority area of action alcohol pricing.",NA,NA,NA,The Province of British Columbia conducted a Liquor Policy Review.,Passed a new statute (not yet in force) to implement some of the recommendations from the Liquor Policy Review.,"Report released by Chief Public Health Officer for Canada entitled 'The Chief Public Health Officer's Report on the State of Public Health in Canada, 2015: Alcohol Consumption in Canada'. The Alberta Gaming and Liquor Commission (AGLC) launched '""Thanks Alcohol"" (2015) and ""Enjoy Responsibly"" (2016)- campaigns to promote Canada's Low-Risk Drinking Guidelines and to bring awareness to the dangers of over-consumption/binge drinking."
Canada,Health services' response,National Alcohol Strategy Advisory Committee advanced the implementation of recommendations in alcohol screening brief intervention and referral.,NA,NA,NA,NA,NA,NA
Canada,Marketing of alcoholic beverages,National Alcohol Strategy Advisory Committee advanced the implementation of recommendations in standard drink labels.,NA,NA,NA,NA,NA,AGLC (Alberta Gaming and Liquor Commission) launched DrinkSense which will be AGLC's ongoing umbrella brand (and associated website) for all AGLC Social Responsibility messages moving forward.
Canada,Reducing the negative consequences of drinking and alcohol intoxication,NA,"National Alcohol Strategy Advisory Committee advanced the implementation of recommendations regarding risky drinking by youth. Developed the Canadian Post-Secondary Education Collaborative on Reducing Alcohol-related Harms by approximately 30 institutions to address binge drinking and related harms on post-secondary campuses across the country. Developed a Charter (under final approval), as well as a framework and data measurement framework based on the strategic areas in Canada's National Alcohol Strategy. CCSA produced materials to increase awareness of combining alcohol and caffeine, a common practice among this age group.",NA,NA,NA,NA,NA
Canada,Monitoring and surveillance,NA,"CCSA produced a report analyzing national data to compare drug and alcohol motor vehicle fatalities to better understand the scope of the impact of alcohol-impaired driving,",NA,NA,NA,NA,NA
Canada,Availability of alcohol,NA,NA,NA,NA,NA,NA,The Province of Saskatchewan implemented mandatory server training. The Province of Ontario announced the expansion of alcohol sales to grocery stores and online services.
Chad,"Leadership, awareness and commitment",NA,NA,NA,NA,NA,Strengthened coordination by human and financial resources.,NA
Chad,Community and workplace action,NA,NA,NA,NA,NA,NA,"Since 2015, trained 100 young people and teachers as educational pairs in schools. Revised an integrated action plan for combating alcohol, tobacco and drugs."
Chad,Drink-driving policies and countermeasures,NA,NA,NA,NA,NA,NA,Changed sanctions for drinking and driving.
Chile,"Leadership, awareness and commitment",Published the National Alcohol Strategy.,NA,NA,NA,NA,NA,"Reviewed the strategy and formulation of the Action Plan 2017-2020, which includes the creation of an officially established and permanent interministerial committee for the coordination and monitoring of the action plan."
Chile,Health services' response,NA,Produced a guide for Brief Alcohol Interventions.,NA,NA,NA,NA,NA
Chile,Drink-driving policies and countermeasures,NA,NA,Implemented the Zero Tolerance Law and 'Emilia's Law' - sanctions for drink driving.,NA,NA,NA,NA
Chile,Pricing policies,NA,NA,NA,NA,"Tax Reform went into effect, increasing alcohol taxes.",NA,NA
Chile,Marketing of alcoholic beverages,NA,NA,NA,NA,NA,Underwent final parliamentary procedure for the bill on labelling and advertising restrictions.,NA
China,Monitoring and surveillance,Commenced surveillance of behavioral risk factors.,NA,NA,Launched an alcohol consumption and policies study programme.,Published the China alcohol business report 2014-2020.,Reported on nutrition and NCDs in China.,NA
China,"Leadership, awareness and commitment",NA,Published core information for promoting a healthy lifestyle.,Created a national plan for NCD control and prevention.,NA,NA,NA,NA
China,Drink-driving policies and countermeasures,NA,"Added Chapter VII Article 91: Whomever drives a motor vehicle after drinking alcohol shall have imposed a penalty of temporary seizure of his motor vehicle driving license for not less than 1 month but not more than 3 months, and imposed a fine of not less than 200 Yuan but not more than 500 Yuan as well; whomever drives a motor vehicle when he is drunk shall be restricted by the traffic administrative department of the public security organ until he becomes sober, be detained for not more than 15 days, have imposed a penalty of temporary seizure of his motor vehicle driving license for not less than 3 months but not more than 6 months, and have imposed a fine of not less than 500 Yuan but not more than 2000 Yuan as well.",NA,NA,NA,NA,NA
China,Availability of alcohol,NA,NA,Banned the sale of alcohol to under-age young people.,NA,NA,NA,NA
Colombia,"Leadership, awareness and commitment","Adopted legislation with measures regarding alcohol consumption, FASD prevention and consumption during pregnancy. Defined  revenues allocated for health, and adopted measures to promote activities that generate resources for health.",NA,NA,Created a guide for strategic plans for the promotion of responsible consumption of alcohol.,NA,"Established provisions for Public Health Authority and for  the implementation, monitoring and evaluation of the Public Health Plan for group interventions (PIC).","Formulated the intersectoral National Alcohol Plan 2017 - 2021, for the National and World Strategy."
Colombia,Reducing the negative consequences of drinking and alcohol intoxication,"Created legislation establishing actions for preventing fetal alcohol syndrome in newborns due to the consumption of alcohol by pregnant women, and other provisions.",NA,NA,NA,NA,NA,NA
Colombia,Drink-driving policies and countermeasures,NA,Adopted the National Road Education Law and National Road Safety Plan 2011-2016.,NA,Established  criminal and administrative provisions to punish driving under the influence of alcohol or other psychoactive substances.,NA,"Established a minimum of curriculum content to certify training of breathanalyzer operators. Adopted ""Guidelines for indirect measure of BAC using a breathanalyzer"".",NA
Colombia,Health services' response,NA,NA,"Guaranteed comprehensive care for people using psychoactive substances, and created a national award for ""Entity committed to the prevention of consumption, abuse and addiction of psychoactive substances.'","Created clinical guidelines developing strategic plans for promoting the responsible consumption of alcohol, guidelines for the early detection, diagnosis and treatment of accute intoxication in patients with alcohol abuse or dependence and guidelines for patients and families for the early detection, diagnosis and treatment of accute intoxication in patients with alcohol abuse or dependence. Updated the Mandatory Health Plan.",NA,NA,"Established an integral health care model, which develops a care system for people with mental and behavioral disorders due to the use of licit and illicit psychoactive substances."
Colombia,Availability of alcohol,NA,NA,"Established technical regulation for health requirements for manufacturing, processing, hydration, packaging, storage, distribution, transport, marketing, sale, export and import of alcoholic beverages for human consumption.",NA,NA,NA,NA
Colombia,Pricing policies,NA,NA,"Enforced regulation on sanitary requirements for the manufacture, elaboration, hydration, packaging, storage, distribution, transportation, commercialization, sale, export and importation of alcoholic beverages destined for human consumption.",NA,NA,NA,A tax reform for liquors is in legislative process.
Colombia,Reducing the public health impact of illicit alcohol and informally produced alcohol,NA,NA,NA,"Created an entity committed to the prevention of consumption, abuse and addiction to psychoactive substances.",NA,NA,NA
Costa Rica,Monitoring and surveillance,Conducted a national survey among 12-70 year-olds in households on drug consumption. Found a small reduction in levels of consumption for all ages.,NA,NA,NA,NA,"Commissioned article to summarize the principal findings of a study done in two Class A hospitals in Costa Rica: ""Alcohol and Injury: study in two national hospital-crossed cases of Costa Rica.",NA
Costa Rica,Health services' response,NA,NA,Created a Health Sector policy for the treatment of people with substance use problems.,NA,NA,NA,NA
Costa Rica,Drink-driving policies and countermeasures,NA,NA,"Established new sanctions for drivers, and separation between novice, professional and general drivers. Lowered BAC limit.",NA,NA,NA,NA
Costa Rica,Availability of alcohol,NA,NA,"Merged laws regarding requirements for issuing licenses to sell alcohol, hours of operation by type of establishment and function, control of advertisements and new addition of sanctions and fines for infractions of the aforementioned.",NA,NA,NA,NA
Costa Rica,Marketing of alcoholic beverages,NA,NA,"Merged laws regarding requirements for issuing licenses to sell alcohol, hours of operation by type of establishment and function, control of advertisements and new addition of sanctions and fines for infractions of the aforementioned.",Amended rules for the regulation and control of commercial advertising related to the sale of alcoholic beverages that had been in place since 1974. Changed the institution responsible for overseeing the specialized alcohol agency. Involved industry representatives in the Commission to approve or reject alcohol advertisements.,NA,NA,Vote of the Judicial Power of the Constitutional Chamber of Costa Rica prohibited the use of national symbols in the advertising of alcoholic beverages and removed voting privileges from representatives of the industry and  advertising agencies in the commission which regulates the subject.
Costa Rica,"Leadership, awareness and commitment",NA,NA,NA,NA,"Led workshop on the use of information for the development of policies and programmes for alcohol, in collaboration with AMRO/PAHO.","Led workshop to validate the ""Alcohol control policy"" by defining the priority interventions to improve public health, and to advance the formulation of an action plan for Costa Rica's alcohol control policy (2016-2019), in the framework of the Global Strategy to Reduce the Harmful Use of Alcohol.",NA
Croatia,"Leadership, awareness and commitment",NA,NA,NA,NA,NA,"The national campaign “Turn on your conscience - sometimes you need to say NO to children” was initiated by members of the Croatian Chamber of Commerce Association of beer malt and hop producers, in collaboration with the Ministry of Health. The campaign calls for the consistent implementation of the law banning the consumption of alcohol by and sale of alcoholic beverages to persons under 18 years",NA
Cuba,"Leadership, awareness and commitment",Created the Mental Health Division.,"Aligned Resolutions 28, 29 and 30 with Law 109 regarding Public Health Ministry (MINSAP) .",Organised national workshops for implementing the Alcohol Use Disorders Identification Test (AUDIT).,NA,NA,Media education campaign for preventing the harmful use of alcohol.,Launched a national long-term information campaign to reduce the harmful effects of alcohol consumption.
Cuba,Drink-driving policies and countermeasures,Approved Law 109. Road Security Code.,Implemented the National Road Safety Plan 2011-2020.,NA,Created a national road safety plan.,Began random breathanalyzer tests for drivers.,NA,NA
Cuba,Reducing the negative consequences of drinking and alcohol intoxication,NA,NA,NA,Launched a drug prevention master's degree.,NA,NA,NA
Cuba,Health services' response,NA,NA,NA,NA,NA,NA,Reviewed training for health professionals regarding alcohol consumption and associated disorders.
Cuba,Community and workplace action,NA,NA,NA,NA,NA,NA,"Issued revised national guidelines on community action, and on prevention, screening and brief interventions"
Cyprus,"Leadership, awareness and commitment",NA,NA,NA,NA,NA,Cyprus Anti-Drugs Council provides funding for national prevention programmes for the reduction of alcohol-related harm,NA
Cyprus,Availability of alcohol,NA,NA,NA,NA,NA,"The Cyprus Anti-Drugs Council has introduced revisions to the existing legislation for the Sales of Alcoholic Beverages. These include modifications specific to the legal age for consumption and accessibility of alcohol (raising of legal age from 17 to 18) and the introduction of measures and stricter penalties for sellers to minimize underage consumption, and reinforce responsible sales/serving practices. The revisions suggested have been approved by the Ministry of Interior and the revised legislation is expected to be discussed at the parliament level in 2016 or early 2017.",NA
Cyprus,Reducing the negative consequences of drinking and alcohol intoxication,NA,NA,NA,NA,NA,Issuing of national guidelines on responsible selling and serving of alcohol,NA
Czechia,"Leadership, awareness and commitment",NA,NA,NA,NA,First revision of the National Drug Policy Strategy 2010-2018.,Launch of the National Action Plan Against the Harmful Effects of Alcohol,NA
Denmark,Health services' response,NA,NA,NA,NA,NA,"The Danish Parliament adopted a law, which strengthened the supervision of public and private alcohol treatment centres.",NA
Denmark,Health services' response,NA,NA,NA,NA,NA,Satspuljeaftale [rate adjustment pool agreement] 2016-2019. A political agreement with regard to strengthened efforts to address substance use and substance use disorders in pregnancy,NA
Denmark,Health services' response,NA,NA,NA,NA,NA,"L 44  Forslag til lov om ændring af sundhedsloven og lov om socialtilsyn [Bill amending the Health Act and the Act on Social Supervision]. To improve the quality of alcohol treatment, this bill establishes a supervision system for alcohol treatment sites.",NA
Denmark,Health services' response,NA,NA,NA,NA,NA,Publication of national clinical guidelines concerning the treatment of alcohol abuse.,NA
Denmark,Health services' response,NA,NA,NA,NA,NA,Publication of national clinical guidelines for screening and treatment of alcohol dependence and mental health.,NA
Denmark,Drink-driving policies and countermeasures,NA,NA,NA,NA,NA,"In April 2015, alcohol ignition interlocks were introduced as a penalty for drink-driving offenses",NA
Dominica,Pricing policies,Increased the excise duties on alcohol.,NA,NA,NA,NA,NA,NA
Dominican Republic,Monitoring and surveillance,Issued a population-based survey on gender and alcohol.,Issued a population-based survey on gender and alcohol.,NA,NA,NA,NA,NA
Dominican Republic,"Leadership, awareness and commitment",NA,NA,Created a guide and protocol for alcohol and drugs.,Published guidelines for reducing alcohol consumption in parents.,Strengthened the Alcohol Cluster.,NA,"Integrated ministries, decentralized ministries and institutions of the state into a working group called the Cluster on Alcohol and Drugs."
Dominican Republic,Health services' response,NA,NA,Opened a comprehensive care center for dependence (CAID). Opened a service for patients with substance abuse in Barahona. Trained health HR in the management of the AUDIT test in Santiago's Cabral and Baez Hospitals.,Opened a service for patients with substance use problems in San Juan Hospital.,NA,NA,NA
Dominican Republic,Availability of alcohol,NA,NA,NA,NA,Drafted a law to regulate hours of sales of alcoholic beverages.,NA,NA
Dominican Republic,Drink-driving policies and countermeasures,NA,NA,NA,NA,NA,Developed a manual for implementing breathalyzers. Issued a bill of a law to regulate traffic accidents and use of breathalyzers,NA
Dominican Republic,Community and workplace action,NA,NA,NA,NA,NA,NA,Signed an agreement between the Ministry of Health and the Alcoholic Beverages Industry to promote the responsible consumption of alcohol in the population
Dominican Republic,Reducing the negative consequences of drinking and alcohol intoxication,NA,NA,NA,NA,NA,NA,Signed an agreement between the Ministry of Health and the Alcoholic Beverages Industry to promote the responsible consumption of alcohol in the population
Ecuador,"Leadership, awareness and commitment",NA,NA,NA,NA,NA,NA,"Approved the Organic Law for Integral Prevention of the Socioeconomic Phenomenon of Drugs and the Regulation and Control of the Use of Catalogued Substances Subject to Auditing. This law includes the creation of the Technical Secretary on Drugs and the Interinstitutional Committee on Drugs, which issues, coordinates and links public policies related to the socioeconomic phenomenon of drugs, as well as the evaluation of the achievement of the institutional goals and objectives of the Technical Secretary on Drugs.  Launched a national, long-term information campaign to reduce the harmful effects of alcohol consumption: i) The Technical Secretary on Drugs implemented the RETUCO programme.  ii)The Public Health Ministry implemented educational communication material such as videos, myths and facts about the consumption of alcohol, tobacco and other drugs, memes for sharing on social media, methodologies for information on alcohol consumption."
Ecuador,Health services' response,NA,NA,NA,NA,NA,NA,"Developed a document which specifies the type of care a patient needs based on their intake of various types of substances: Protocol for the Integral Care of the Harmful Use of Alcohol, Tobacco and Other Drugs. Revised training for health professionals in alcohol consumption and related disorders: Given virtual and in-person trainings to primary health care professionals. Tools related to care for people with problematic use and consumption of alcohol, tobacco and other drugs include mhGAP, TREATNET, Virtual training for care of persons with problematic consumption of alcohol, tobacco and other drugs. Constructed specialized centers for treatment of alcohol and other drug consumption (CETAD) for people who consume alcohol and other drugs."
Egypt,Pricing policies,NA,NA,NA,Increasing taxes on alcohol.,NA,NA,NA
Egypt,Monitoring and surveillance,NA,NA,NA,NA,Established the National Drug Observatory. Released the final report of the national alcohol and drug survey. Introduced a new national alcohol and drug survey.,Commenced the MED SPAD study to survey alcohol and drugs among adolesents.,NA
El Salvador,"Leadership, awareness and commitment",NA,NA,NA,"FOSALUD is a permanent educational campaign directed towards children and adolescents, health professionals and risky drinkers regarding the health effects of harmful alcohol consumption (2013 theme: Alcohol is winning the race [""El Alcohol te está ganando la batalle""]). Created new technical guidelines for psychoactive substance abuse prevention services.","FOSALUD maintains a permanent education campaign on the health effects of harmful alcohol use, targeting children and adolescents, health professionals and risky drinkers (2014 theme: ""Alcohol deceives you"" [""El alcohol te engaña""]).",NA,Proposed elaboration of the National Strategy for Reducing the Harmful Consumption of Alcohol. Launched national campaigns to prevent the harmful consumption of alcohol.
El Salvador,Health services' response,NA,NA,NA,FOSALUD increased service coverage for addiction prevention and cessation. Created health worker certification in social therapy.,NA,NA,Trained health professionals to control the demand for alcohol. Financed health service provision through Centers for Prevention and Treatment of Addictions.
El Salvador,Drink-driving policies and countermeasures,NA,NA,NA,Reformed penal code to change driving under the influence of alcohol from reckless driving to dangerous driving and to increase the sanction for infractors from 3 to 5 years in prison.,NA,NA,Reformed the Penal Code to criminalize dangerous driving.
El Salvador,Monitoring and surveillance,NA,NA,NA,Conducted the Annual Report 2013.,Conducted the Annual Report 2014.,NA,Published the National Alcohol Survey 2014. Developed the Alcohol Control Information System.
El Salvador,Availability of alcohol,NA,NA,NA,NA,NA,NA,Operation of the Alcohol and Tobacco Unit to regulate the production and marketing of alcohol.
El Salvador,Marketing of alcoholic beverages,NA,NA,NA,NA,NA,NA,Operation of the Alcohol and Tobacco Unit to regulate the production and marketing of alcohol.
Estonia,Drink-driving policies and countermeasures,"Campaign on alcohol-related health harms and drink–driving prevention campaigns (""Drive sober!"" ""Designated driver"", ""Crash-free night"").","Campaign on alcohol-related health harms, drink–driving prevention campaigns (""Drive sober!"" ""Designated driver"", ""Crash-free night""), and drunk–swimming prevention campaign.","An awareness campaign on drink-driving was carried out. Campaign on alcohol-related health harms, drink–driving prevention campaigns (""Drive sober!"" ""Designated driver"", ""Crash-free night""), and drunk–swimming prevention campaign.",An awareness campaign on drink driving was carried out.,An awareness campaign on drink-driving was carried out.,NA,NA
Estonia,"Leadership, awareness and commitment",NA,NA,An awareness campaign was carried out.,An awareness campaign was carried out.,An awareness campaign was carried out.,NA,NA
Estonia,Reducing the negative consequences of drinking and alcohol intoxication,NA,NA,NA,NA,An awareness campaign on preventing drunk swimming was carried out.,NA,NA
Estonia,Health services' response,NA,NA,NA,NA,NA,"A major programme for improving the quality and availability of treatment and counseling ""Sober and healthy Estonia"" was launched.",NA
Ethiopia,"Leadership, awareness and commitment",NA,NA,NA,NA,NA,National Guidelines for Clinical and Programmatic Management of Major NCDs developed and printed.,NA
Ethiopia,Availability of alcohol,NA,NA,NA,NA,NA,NA,Developed directives to prevent the purchase of alcoholic beverages by children and adolescents under 18 years.
Ethiopia,Monitoring and surveillance,NA,NA,NA,NA,NA,NA,Put in place a monitoring system to prevent under-age drinking.
Finland,"Leadership, awareness and commitment",NA,NA,NA,NA,NA,"Laki ehkäisevän päihdetyön järjestämsiestä, No. 523/2015 [Act on organizing alcohol, tobacco, drugs and gambling prevention]. The Act gave a legal basis to the regional coordination structure established in 2011 and to the national lead role of the Institute for Health and Welfare. The Act established common standards for the multi-actor work organized at the local level by municipalities.",NA
